"RespondentId"	"living_situation"	"rent_mo"	"util_mo"	"food_mo"	"transp_mo"	"healthCare_mo"	"household_items_mo"	"take_loans"	"recieve_fin_support"	"provide_fin_support"	"expenditures_exceed_income"	"mental_health_stipend_impact"	"food_insecurity"	"residency_status"	"is_otherRace"	"is_other"	"parental_education"	"Race"	"Sex_Gen"
"33"	96299989	"I live with roommates."	"Less than $500"	"$100-$150"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Sometimes"	"Daily"	"A few times a week"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"34"	96299993	"I live with roommates."	"$700-$900"	"$50-$100"	"$500-$600"	"Less than $100"	"$100-$200"	"$150-$200"	"No"	"Yes"	"No"	"Sometimes"	"Daily"	"Daily"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender woman"
"35"	96299994	"I live alone."	"$900-$1100"	"Less than $50"	"$400-$500"	"$100-$200"	"I don't spend any money on health-related fees."	"$100-$150"	"Yes"	"Yes"	"No"	"Yes"	"A few times a week"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"36"	96299995	""	"$900-$1100"	"$50-$100"	"$500-$600"	"$100-$200"	"Less than $100"	"$150-$200"	"No"	"No"	"No"	"Sometimes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"37"	96299997	"I live with roommates."	"$700-$900"	"$50-$100"	"$400-$500"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"Never"	"International"	""	""	"Some secondary school education"	"Asian"	"Cisgender man"
"38"	96299999	"I live alone."	"$700-$900"	"$100-$150"	"$400-$500"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a month"	"Once in a while"	"International"	""	""	"Associate's degree"	"Asian"	"Cisgender woman"
"39"	96300000	"I live with roommates."	"$700-$900"	"$50-$100"	"$400-$500"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"40"	96300003	"I live with roommates."	"$700-$900"	"$50-$100"	"Less than $200"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"41"	96300004	"I live alone."	"$1100-$1300"	"$100-$150"	"$300-$400"	"$100-$200"	"$100-$200"	"$150-$200"	"No"	"No"	"Yes"	"Sometimes"	"A few times a month"	"Once in a while"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender man"
"42"	96300006	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$600-$700"	"$300-$400"	"Less than $100"	"$100-$150"	"Yes"	"Yes"	"Yes"	"No"	"A few times a week"	"Never"	"Domestic"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"43"	96300008	"I live alone."	"$1100-$1300"	"More than $150"	"$300-$400"	"$100-$200"	"$200-$300"	"$50-$100"	"Yes"	"Yes"	"Yes"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"44"	96300009	"Other"	"$1100-$1300"	"$50-$100"	"$300-$400"	"$200-$300"	"Less than $100"	"Less than $50"	"Yes"	"No"	"Yes"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"45"	96300011	"I live with my spouse/partner."	"$500-$700"	"$100-$150"	"$200-$300"	"$100-$200"	"$100-$200"	"Less than $50"	"Yes"	"No"	"Yes"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"46"	96300013	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a week"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"47"	96300018	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"48"	96300019	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"49"	96300021	"I live alone."	"More than $1300"	"$100-$150"	"$600-$700"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"50"	96300022	"I live alone."	"$900-$1100"	"More than $150"	"Less than $200"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Daily"	"A few times a week"	"Domestic"	""	""	"Bachelor's degree"	"Black"	"Cisgender man"
"51"	96300024	"I live alone."	"More than $1300"	"$100-$150"	"$300-$400"	"$100-$200"	"$100-$200"	"$100-$150"	"Yes"	"No"	"Yes"	"Yes"	"Daily"	"A few times a week"	"Domestic"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"52"	96300028	"I live with my spouse/partner."	"$900-$1100"	"$100-$150"	"$500-$600"	"$300-$400"	"$100-$200"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Black"	"Cisgender woman"
"53"	96300029	"I live alone."	"$500-$700"	"Less than $50"	"$400-$500"	"Less than $100"	"I don't spend any money on health-related fees."	"Less than $50"	"No"	"No"	"No"	"No"	"A few times a month"	"Never"	"International"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"54"	96300030	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$700-$800"	"$100-$200"	"$200-$300"	"$100-$150"	"Yes"	"Yes"	"Yes"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	NA
"55"	96300031	"I live with roommates."	"More than $1300"	"More than $150"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"56"	96300037	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$500-$600"	"More than $400"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"57"	96300038	"Other"	"More than $1300"	"More than $150"	"$700-$800"	"$300-$400"	"$100-$200"	"$100-$150"	"Yes"	"No"	"Yes"	"Sometimes"	"Daily"	"A few times a week"	"Domestic"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"58"	96300039	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$200-$300"	"$200-$300"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Doctorate degree"	"White"	NA
"59"	96300043	"I live with my spouse/partner."	"$700-$900"	"More than $150"	"$500-$600"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"60"	96300046	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$900-$1000"	"$200-$300"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"Hispanic or Latino"	NA
"61"	96300049	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"International"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"62"	96300051	"I live alone."	"More than $1300"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"Daily"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"63"	96300052	"I live with roommates."	"$900-$1100"	"$100-$150"	"$200-$300"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"A few times a week"	"Never"	"International"	""	""	"Bachelor's degree"	"Black"	"Cisgender man"
"64"	96300055	"I live with roommates."	"$500-$700"	"$100-$150"	"Less than $200"	"$100-$200"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Sometimes"	"Once in a while"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"65"	96300056	"I live alone."	"$1100-$1300"	"$50-$100"	"$200-$300"	"I don't spend any money on transportation."	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"No"	"Never"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender man"
"66"	96300057	"I live with my spouse/partner."	"$900-$1100"	"More than $150"	"$500-$600"	"$300-$400"	"$100-$200"	"$100-$150"	"Yes"	"No"	"Yes"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"67"	96300061	"I live with roommates."	"$700-$900"	"$100-$150"	"$500-$600"	"$100-$200"	"$200-$300"	"$100-$150"	"No"	"Yes"	"Yes"	"Yes"	"Daily"	"Daily"	"International"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender man"
"68"	96300064	"I live alone."	"$900-$1100"	"Less than $50"	"$200-$300"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"69"	96300065	"I live alone."	"$1100-$1300"	"$50-$100"	"Less than $200"	"Less than $100"	"$200-$300"	"$100-$150"	"No"	"Yes"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"70"	96300070	"I live alone."	"$1100-$1300"	"More than $150"	"$300-$400"	"$100-$200"	"$200-$300"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"71"	96300075	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$400-$500"	"$100-$200"	"More than $500"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a month"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"72"	96300077	"I live alone."	"$900-$1100"	"More than $150"	"$200-$300"	"$100-$200"	"$100-$200"	"$50-$100"	"No"	"Yes"	"No"	"No"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"73"	96300079	"I live with my spouse/partner."	"More than $1300"	"$100-$150"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"74"	96300080	"I live with roommates."	"$700-$900"	"Less than $50"	"$400-$500"	"$100-$200"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"No"	"Never"	"A few times a month"	"International"	""	""	"Master's degree"	"White"	"Cisgender woman"
"75"	96300082	"I live alone."	"$1100-$1300"	"$100-$150"	"$200-$300"	"$300-$400"	"Less than $100"	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"76"	96300089	"I live alone."	"$1100-$1300"	"$50-$100"	"$300-$400"	"Less than $100"	"I don't spend any money on health-related fees."	"Less than $50"	"No"	"No"	"No"	"Yes"	"Daily"	"Never"	"International"	"Other"	""	"Master's degree"	"Asian"	"Cisgender woman"
"77"	96300096	"I live with roommates."	"$500-$700"	"$50-$100"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"78"	96300099	"I live alone."	"More than $1300"	"More than $150"	"$400-$500"	"$300-$400"	"$400-$500"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Daily"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"79"	96300100	"I live alone."	"$1100-$1300"	"Less than $50"	"$200-$300"	"$100-$200"	"$200-$300"	"$150-$200"	"No"	"Yes"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"80"	96300102	"I live alone."	"$900-$1100"	"More than $150"	"$300-$400"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"A few times a week"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"81"	96300103	"I live alone."	"$700-$900"	"I don't spend any money on utilities."	"$300-$400"	"$200-$300"	"$100-$200"	"$100-$150"	"No"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Doctorate degree"	"White"	NA
"82"	96300105	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$400-$500"	"$100-$200"	"$100-$200"	"$50-$100"	"Yes"	"No"	"No"	"No"	"A few times a month"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"83"	96300110	"I live with roommates."	"$700-$900"	"$50-$100"	"$900-$1000"	"$200-$300"	"Less than $100"	"Less than $50"	"No"	"No"	""	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Doctorate degree"	"Asian"	"Cisgender man"
"84"	96300112	"I live with my spouse/partner."	"$1100-$1300"	"$100-$150"	"$700-$800"	"$200-$300"	"$100-$200"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a month"	"International"	""	""	"Associate's degree"	"White"	"Cisgender woman"
"85"	96300113	"I live alone."	"$1100-$1300"	"$50-$100"	"$300-$400"	"$100-$200"	"$100-$200"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"86"	96300114	"I live with roommates."	"$500-$700"	"I don't spend any money on utilities."	"Less than $200"	"More than $400"	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"Yes"	"Daily"	"Never"	"International"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender man"
"87"	96300115	"I live alone."	"$700-$900"	"$100-$150"	"$200-$300"	"$100-$200"	"$100-$200"	"$100-$150"	"Yes"	"No"	"No"	"Sometimes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	NA
"88"	96300116	"Other"	"$700-$900"	"$100-$150"	"$400-$500"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"A few times a week"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender woman"
"89"	96300119	"I live alone."	"More than $1300"	"More than $150"	"$400-$500"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"Black"	"Cisgender man"
"90"	96300121	"I live with my parents/guardians."	"I don't spend any money on rent."	"I don't spend any money on utilities."	"I don't spend any money on food."	"Less than $100"	"Less than $100"	"I don't spend any money on household items."	"No"	"No"	"No"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	NA
"91"	96300122	"I live with roommates."	"$1100-$1300"	"$100-$150"	"$300-$400"	"$300-$400"	"$100-$200"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"92"	96300125	"I live alone."	"$900-$1100"	"$100-$150"	"$500-$600"	"$200-$300"	"Less than $100"	"$100-$150"	"No"	"No"	"No"	"Sometimes"	"Once in a while"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"93"	96300131	"I live alone."	"More than $1300"	"$50-$100"	"$200-$300"	"$200-$300"	"$100-$200"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"94"	96300132	"I live with roommates."	"$900-$1100"	"$100-$150"	"$300-$400"	"$300-$400"	"$100-$200"	"$100-$150"	"No"	"No"	"No"	"Yes"	"A few times a week"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender man"
"95"	96300134	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$900-$1000"	"$100-$200"	"$200-$300"	"$50-$100"	"No"	"No"	"No"	"No"	"Never"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	NA
"96"	96300135	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$300-$400"	"$300-$400"	"$100-$200"	"Less than $50"	"Yes"	"No"	"No"	"Yes"	"A few times a week"	"Never"	"Domestic"	""	""	"Associate's degree"	"Other BIPOC"	NA
"97"	96300138	"I live with roommates."	"$500-$700"	"Less than $50"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"Yes"	"No"	"Yes"	"A few times a month"	"A few times a month"	"International"	""	""	"Secondary school education (high school degree)"	"Asian"	"Cisgender man"
"98"	96300141	"I live with roommates."	"$500-$700"	"$50-$100"	"Less than $200"	"$100-$200"	"I don't spend any money on health-related fees."	"Less than $50"	"Yes"	"No"	"No"	"Sometimes"	"A few times a month"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"99"	96300143	"I live with roommates."	"$500-$700"	"More than $150"	"$200-$300"	"$100-$200"	"$200-$300"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"100"	96300144	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$800-$900"	"$300-$400"	"More than $500"	"$150-$200"	"Yes"	"No"	"Yes"	"No"	"Never"	"Never"	"Domestic"	""	"Other"	"Master's degree"	"White"	NA
