"Uni"	"City"
"American College of Education"	"Chicago, IL"
"American College of Financial Services"	"Bryn Mawr, PA"
"American College of Healthcare Sciences"	"Portland, OR"
"American Indian OIC Inc"	"Minneapolis, MN"
"American Institute-Toms River"	"Toms River, NJ"
"American International College"	"Springfield, MA"
"American Jewish University"	"Los Angeles, CA"
"American Medical Academy"	"Miami, FL"
"American Public University System"	"Charles Town, WV"
"American River College"	"Sacramento, CA"
"American Samoa Community College"	"Pago Pago, AS"
"American School of Nursing and Medical Careers"	"Manchester, NH"
"American University of Health Sciences"	"Signal Hill, CA"
"Amherst College"	"Amherst, MA"
"Amridge University"	"Montgomery, AL"
"Ancilla College"	"Donaldson, IN"
"Anderson University - IN"	"Anderson, IN"
"Anderson University - SC"	"Anderson, SC"
"Andrew College"	"Cuthbert, GA"
"Andrews University"	"Berrien Springs, MI"
"Angeles Institute"	"Lakewood, CA"
"Angelina College"	"Lufkin, TX"
"Angelo State University"	"San Angelo, TX"
"Anne Arundel Community College"	"Arnold, MD"
"Anoka Technical College"	"Anoka, MN"
"Anoka-Ramsey Community College"	"Coon Rapids, MN"
"Antelope Valley College"	"Lancaster, CA"
"Anthem College - Bryman School"	"Phoenix, AZ"
"Antioch College"	"Yellow Springs, OH"
"Antioch University-Los Angeles"	"Culver City, CA"
"Antioch University-Midwest"	"Yellow Springs, OH"
"Antioch University-New England"	"Keene, NH"
"Antioch University-PhD Program in Leadership and Change"	"Yellow Springs, OH"
"Antioch University-Santa Barbara"	"Santa Barbara, CA"
"Antioch University-Seattle"	"Seattle, WA"
"Apex School of Theology"	"Durham, NC"
"Apex Technical School"	"New York, NY"
"Apollo Career Center"	"Lima, OH"
"Appalachian College of Pharmacy"	"Oakwood, VA"
"Appalachian School of Law"	"Grundy, VA"
"Appalachian State University"	"Boone, NC"
"Applied Technology Services"	"Sunset Hills, MO"
"Aquinas College - MI"	"Grand Rapids, MI"
"Aquinas Institute of Theology"	"St. Louis, MO"
"Arcadia University"	"Glenside, PA"
"Aria Health School of Nursing"	"Philadelphia, PA"
"Arizona Academy of Beauty-East"	"Tucson, AZ"
"Arizona Automotive Institute"	"Glendale, AZ"
"Arizona Christian University"	"Phoenix, AZ"
"Arizona College-Mesa"	"Mesa, AZ"
"Arkansas Baptist College"	"Little Rock, AR"
"Arkansas State University Three Rivers"	"Malvern, AR"
"Arkansas State University-Mountain Home"	"Mountain Home, AR"
"Arkansas Tech University"	"Russellville, AR"
"Arlington Baptist College"	"Arlington, TX"
"Arlington Career Institute"	"Grand Prairie, TX"
"Arrojo Cosmetology School"	"New York, NY"
"Art Academy of Cincinnati"	"Cincinnati, OH"
"Art Center College of Design"	"Pasadena, CA"
"Artistic Academy of Hair Design"	"Morris Plains, NJ"
"Asbury Theological Seminary"	"Wilmore, KY"
"Asbury University"	"Wilmore, KY"
"Ashland Community and Technical College"	"Ashland, KY"
"Ashland University"	"Ashland, OH"
"Ashtabula County Joint Vocational School"	"Jefferson, OH"
"Asian American International Beauty College"	"Westminster, CA"
"ASM Beauty World Academy"	"Davie, FL"
"Asnuntuck Community College"	"Enfield, CT"
"Aspen Beauty Academy of Laurel"	"Laurel, MD"
"Associated Technical College-Los Angeles"	"Los Angeles, CA"
"Associated Technical College-San Diego"	"San Diego, CA"
"ATA College"	"Louisville, KY"
"Athena Career Academy"	"Sylvania, OH"
"Athens State University"	"Athens, AL"
"Athens Technical College"	"Athens, GA"
"Atlanta Metropolitan State College"	"Atlanta, GA"
"Atlanta School of Massage"	"Atlanta, GA"
"Atlanta Technical College"	"Atlanta, GA"
"Atlanta's John Marshall Law School"	"Atlanta, GA"
"Atlantic Beauty & Spa Academy LLC"	"Pleasantville, NJ"
"Atlantic Cape Community College"	"Mays Landing, NJ"
"Atlantic Institute of Oriental Medicine"	"Fort Lauderdale, FL"
"ATS Institute of Technology"	"Highland Heights, OH"
"Auburn Career Center"	"Concord Twp, OH"
"Auburn University"	"Auburn, AL"
"Auburn University at Montgomery"	"Montgomery, AL"
"Augsburg University"	"Minneapolis, MN"
"Augusta University"	"Augusta, GA"
"Augustana College - IL"	"Rock Island, IL"
"Augustana University - SD"	"Sioux Falls, SD"
"Aultman College of Nursing and Health Sciences"	"Canton, OH"
"Aurora University"	"Aurora, IL"
"Austin College"	"Sherman, TX"
"Austin Kade Academy"	"Idaho Falls, ID"
"Autry Technology Center"	"Enid, OK"
"Avalon School of Cosmetology-Layton"	"Layton, UT"
"Avalon School of Cosmetology-Phoenix"	"Phoenix, AZ"
"Ave Maria School of Law"	"Naples, FL"
"Ave Maria University"	"Ave Maria, FL"
"Aveda Institute Des Moines"	"West Des Moines, IA"
"Aveda Institute of New Mexico (The)"	"Albuquerque, NM"
"Aveda Institute Portland"	"Portland, OR"
"Aveda Institute Tucson"	"Tucson, AZ"
"Avenue Five Institute"	"Austin, TX"
"Aviation Institute of Maintenance-Las Vegas"	"Las Vegas, NV"
"Aviator College of Aeronautical Science and Technology"	"Fort Pierce, FL"
"Avila University"	"Kansas City, MO"
"AVTEC-Alaska's Institute of Technology"	"Seward, AK"
"Award Beauty School"	"Hagerstown, MD"
"Ayers Career College"	"Shreveport, LA"
"Azusa Pacific University"	"Azusa, CA"
"Bacone College"	"Muskogee, OK"
"Baker College of Cadillac"	"Cadillac, MI"
"Baker College of Clinton Township"	"Clinton Township, MI"
"Baker College of Flint"	"Flint, MI"
"Baker College of Jackson"	"Jackson, MI"
"Baker College of Muskegon"	"Muskegon, MI"
"Baker College of Owosso"	"Owosso, MI"
"Bakke Graduate University"	"Dallas, TX"
"Baldwin Beauty School-North Austin"	"Austin, TX"
"Baldwin Park Adult & Community Education"	"Baldwin Park, CA"
"Baldwin Wallace University"	"Berea, OH"
"Ball State University"	"Muncie, IN"
"Baltimore City Community College"	"Baltimore, MD"
"Bank Street College of Education"	"New York, NY"
"Baptist Bible College and Graduate School"	"Springfield, MO"
"The Baptist College of Florida"	"Graceville, FL"
"Baptist Health Schools-Little Rock"	"Little Rock, AR"
"Baptist Health System School of Health Professions"	"San Antonio, TX"
"Baptist Memorial College of Health Sciences"	"Memphis, TN"
"Baptist University of the Americas"	"San Antonio, TX"
"Barclay College"	"Haviland, KS"
"Bard College"	"Annandale-On-Hudson, NY"
"Bard College at Simon's Rock"	"Great Barrington, MA"
"Barnard College"	"New York, NY"
"Barnes-Jewish College Goldfarb School of Nursing"	"St. Louis, MO"
"Barstow Community College"	"Barstow, CA"
"Barton College"	"Wilson, NC"
"Barton County Community College"	"Great Bend, KS"
"Bastyr University"	"Kenmore, WA"
"Bates College"	"Lewiston, ME"
"Bates Technical College"	"Tacoma, WA"
"Baton Rouge Community College"	"Baton Rouge, LA"
"Bay de Noc Community College"	"Escanaba, MI"
"Bay Mills Community College"	"Brimley, MI"
"Baylor College of Medicine"	"Houston, TX"
"Beacon College"	"Leesburg, FL"
"Beal College"	"Bangor, ME"
"Beaufort County Community College"	"Washington, NC"
"Beaumont Adult School"	"Beaumont, CA"
"Beauty Academy of South Florida"	"Hialeah, FL"
"Beck Area Career Center-Red Bud"	"Red Bud, IL"
"Becker College"	"Worcester, MA"
"Beckfield College"	"Florence, KY"
"Bel-Rea Institute of Animal Technology"	"Denver, CO"
"Belanger School of Nursing"	"Schenectady, NY"
"Belhaven University"	"Jackson, MS"
"Bellarmine University"	"Louisville, KY"
"Belle Academy of Cosmetology"	"Waterbury, CT"
"Bellevue College"	"Bellevue, WA"
"Bellin College"	"Green Bay, WI"
"Bellingham Technical College"	"Bellingham, WA"
"Bellus Academy"	"Manhattan, KS"
"Belmont Abbey College"	"Belmont, NC"
"Belmont College"	"St. Clairsville, OH"
"Belmont University"	"Nashville, TN"
"Beloit College"	"Beloit, WI"
"Bemidji State University"	"Bemidji, MN"
"Ben Franklin Career Center"	"Dunbar, WV"
"Benedict College"	"Columbia, SC"
"Benedictine College"	"Atchison, KS"
"Benes International School of Beauty"	"New Port Richey, FL"
"Benjamin Franklin Institute of Technology"	"Boston, MA"
"Bennett Career Institute"	"Washington D.C., DC"
"Bennett College"	"Greensboro, NC"
"Bennington College"	"Bennington, VT"
"Bentley University"	"Waltham, MA"
"Berea College"	"Berea, KY"
"Bergen Community College"	"Paramus, NJ"
"Berkeley City College"	"Berkeley, CA"
"Berklee College of Music"	"Boston, MA"
"Berks Career & Technology Center"	"Leesport, PA"
"Berks Technical Institute"	"Wyomissing, PA"
"Berkshire Community College"	"Pittsfield, MA"
"Berry College"	"Mount Berry, GA"
"Bethany College - KS"	"Lindsborg, KS"
"Bethany College - WV"	"Bethany, WV"
"Bethany Lutheran College"	"Mankato, MN"
"Bethel College - KS"	"North Newton, KS"
"Bethel Seminary San Diego"	"San Diego, CA"
"Bethel University - IN"	"Mishawaka, IN"
"Bethel University - MN"	"Saint Paul, MN"
"Bethel University - TN"	"McKenzie, TN"
"Bethesda University"	"Anaheim, CA"
"Bethune-Cookman University"	"Daytona Beach, FL"
"Beulah Heights University"	"Atlanta, GA"
"Bidwell Training Center Inc"	"Pittsburgh, PA"
"Big Bend Community College"	"Moses Lake, WA"
"Big Sandy Community and Technical College"	"Prestonsburg, KY"
"Biola University"	"La Mirada, CA"
"Birmingham Southern College"	"Birmingham, AL"
"Bishop State Community College"	"Mobile, AL"
"Bismarck State College"	"Bismarck, ND"
"BJ's Beauty & Barber College"	"Tacoma, WA"
"Black Hawk College"	"Moline, IL"
"Black Hills Beauty College"	"Rapid City, SD"
"Black Hills State University"	"Spearfish, SD"
"Black River Technical College"	"Pocahontas, AR"
"Blackburn College"	"Carlinville, IL"
"Blackfeet Community College"	"Browning, MT"
"Blackhawk Technical College"	"Janesville, WI"
"Bladen Community College"	"Dublin, NC"
"Blake Austin College"	"Vacaville, CA"
"Blake Austin College Beauty Academy"	"Vacaville, CA"
"Blessing Rieman College of Nursing"	"Quincy, IL"
"Blinn College"	"Brenham, TX"
"Bloomfield College"	"Bloomfield, NJ"
"Bloomsburg University of Pennsylvania"	"Bloomsburg, PA"
"Blue Mountain College"	"Blue Mountain, MS"
"Blue Mountain Community College"	"Pendleton, OR"
"Blue Ridge Community and Technical College"	"Martinsburg, WV"
"Blue Ridge Community College - NC"	"Flat Rock, NC"
"Blue Ridge Community College - VA"	"Weyers Cave, VA"
"Bluefield College"	"Bluefield, VA"
"Bluefield State College"	"Bluefield, WV"
"Bluegrass Community and Technical College"	"Lexington, KY"
"Bluffton University"	"Bluffton, OH"
"Bob Jones University"	"Greenville, SC"
"Boca Beauty Academy"	"Boca Raton, FL"
"Boise Bible College"	"Boise, ID"
"Bon Secours Memorial College of Nursing"	"Richmond, VA"
"Bonnie Joseph Academy of Cosmetology and Barbering"	"Heber City, UT"
"Boricua College"	"New York, NY"
"Bossier Parish Community College"	"Bossier City, LA"
"Boston Architectural College"	"Boston, MA"
"Boston College"	"Chestnut Hill, MA"
"Boston Graduate School of Psychoanalysis Inc"	"Brookline, MA"
"Boston University - Business"	"Boston, MA"
"Bowdoin College"	"Brunswick, ME"
"Bowie State University"	"Bowie, MD"
"Bradford-Union Area Career Technical Center"	"Starke, FL"
"Brandeis University"	"Waltham, MA"
"Brazosport College"	"Lake Jackson, TX"
"Brevard College"	"Brevard, NC"
"Brewster Technical College"	"Tampa, FL"
"Brewton-Parker College"	"Mount Vernon, GA"
"Briar Cliff University"	"Sioux City, IA"
"Bridgewater College"	"Bridgewater, VA"
"Bridgewater State University"	"Bridgewater, MA"
"Brigham Young University"	"Provo, UT"
"Brigham Young University - Idaho"	"Rexburg, ID"
"Brigham Young University-Hawaii"	"Laie, HI"
"Bristol Community College"	"Fall River, MA"
"Brite Divinity School"	"Fort Worth, TX"
"Broadview Entertainment Arts University"	"Salt Lake City, UT"
"Brookdale Community College"	"Lincroft, NJ"
"Brooklyn Law School"	"Brooklyn, NY"
"Broome Community College"	"Binghamton, NY"
"Broward College"	"Fort Lauderdale, FL"
"Brown University"	"Providence, RI"
"Brunswick Community College"	"Bolivia, NC"
"Bryan College - Dayton"	"Dayton, TN"
"Bryan College of Health Sciences"	"Lincoln, NE"
"Bryan University - AR"	"Rogers, AR"
"Bryan University - MO"	"Springfield, MO"
"Bryant & Stratton College-Akron"	"Copley, OH"
"Bryant University"	"Smithfield, RI"
"Bryn Athyn College of the New Church"	"Bryn Athyn, PA"
"Bryn Mawr College"	"Bryn Mawr, PA"
"Buckeye Career Center"	"New Philadelphia, OH"
"Bucknell University"	"Lewisburg, PA"
"Bucks County Community College"	"Newtown, PA"
"Buena Vista University"	"Storm Lake, IA"
"Bunker Hill Community College"	"Boston, MA"
"Butler Community College"	"El Dorado, KS"
"Butler Tech-D Russel Lee Career Center"	"Hamilton, OH"
"Butler University"	"Indianapolis, IN"
"Butte College"	"Oroville, CA"
"Cabarrus College of Health Sciences"	"Concord, NC"
"Cabell County Career Technology Center"	"Huntington, WV"
"Cabrillo College"	"Aptos, CA"
"Cabrini University"	"Radnor, PA"
"Caddo Kiowa Technology Center"	"Fort Cobb, OK"
"Cairn University"	"Langhorne, PA"
"CALC Institute of Technology"	"Alton, IL"
"Caldwell Community College and Technical Institute"	"Hudson, NC"
"Caldwell University"	"Caldwell, NJ"
"California Academy-A Paul Mitchell Partner School"	"Sacramento, CA"
"California Beauty School"	"Modesto, CA"
"California Career School"	"Anaheim, CA"
"California College of the Arts"	"Oakland, CA"
"California Hair Design Academy"	"La Mesa, CA"
"California Institute of Integral Studies"	"San Francisco, CA"
"California Institute of Technology"	"Pasadena, CA"
"California Institute of the Arts"	"Valencia, CA"
"California Miramar University"	"San Diego, CA"
"California Nurses Educational Institute"	"Cathedral City, CA"
"California Polytechnic State University-San Luis Obispo"	"San Luis Obispo, CA"
"California Southern University"	"Irvine, CA"
"California State Polytechnic University-Pomona"	"Pomona, CA"
"California State University - Chico"	"Chico, CA"
"California State University - Dominguez Hills"	"Carson, CA"
"California State University - East Bay"	"Hayward, CA"
"California State University - Fullerton"	"Fullerton, CA"
"California State University - Northridge"	"Northridge, CA"
"California State University - Stanislaus"	"Turlock, CA"
"California State University Maritime Academy"	"Vallejo, CA"
"California State University Monterey Bay"	"Seaside, CA"
"California State University-Bakersfield"	"Bakersfield, CA"
"California State University-Channel Islands"	"Camarillo, CA"
"California State University-Fresno"	"Fresno, CA"
"California State University-Long Beach"	"Long Beach, CA"
"California State University-Los Angeles"	"Los Angeles, CA"
"California State University-Sacramento"	"Sacramento, CA"
"California State University-San Bernardino"	"San Bernardino, CA"
"California State University-San Marcos"	"San Marcos, CA"
"California University of Management and Sciences"	"Anaheim, CA"
"California Western School of Law"	"San Diego, CA"
"Calvin Theological Seminary"	"Grand Rapids, MI"
"Cambridge College"	"Cambridge, MA"
"Camden County College"	"Blackwood, NJ"
"Camelot College"	"Baton Rouge, LA"
"Cameo Beauty Academy"	"Oak Lawn, IL"
"Cameo College of Essential Beauty"	"Murray, UT"
"Cameron University"	"Lawton, OK"
"Campbell University"	"Buies Creek, NC"
"Canada College"	"Redwood City, CA"
"Canadian Valley Technology Center"	"El Reno, OK"
"Canisius College"	"Buffalo, NY"
"Cankdeska Cikana Community College"	"Fort Totten, ND"
"Canton City Schools Adult Community Education"	"Canton, OH"
"Cao Institute of Aesthetics"	"Alhambra, CA"
"Cape Cod Community College"	"West Barnstable, MA"
"Cape Girardeau Career and Technology Center"	"Cape Girardeau, MO"
"Capilo School of Hair Design"	"Augusta, ME"
"Capital Area School of Practical Nursing"	"Springfield, IL"
"Capital Community College"	"Hartford, CT"
"Capital University"	"Columbus, OH"
"Capitol School of Hairstyling and Esthetics"	"Omaha, NE"
"Capitol Technology University"	"Laurel, MD"
"Capri School of Hair Design"	"Nanuet, NY"
"Career Academy of Beauty"	"West Garden Grove, CA"
"Career Academy of Hair Design"	"Springdale, AR"
"Career and Technology Education Centers of Licking County"	"Newark, OH"
"Career Care Institute"	"Lancaster, CA"
"Career College of Northern Nevada"	"Sparks, NV"
"Career Quest - TX"	"San Antonio, TX"
"Career Technical Institute"	"Washington D.C., DC"
"Career Training Solutions"	"Fredericksburg, VA"
"Careers Unlimited"	"Orem, UT"
"Carl Albert State College"	"Poteau, OK"
"Carl Sandburg College"	"Galesburg, IL"
"Carleton College"	"Northfield, MN"
"Carlos Albizu University-Miami"	"Miami, FL"
"Carnegie Institute"	"Troy, MI"
"Carnegie Mellon University"	"Pittsburgh, PA"
"Carolina Academy of Cosmetic Art & Science"	"Gastonia, NC"
"Carolinas College of Health Sciences"	"Charlotte, NC"
"Carrington College California-San Leandro"	"San Leandro, CA"
"Carroll College"	"Helena, MT"
"Carroll Community College"	"Westminster, MD"
"Carteret Community College"	"Morehead City, NC"
"Carthage College"	"Kenosha, WI"
"Carthage R9 School District-Carthage Technical Center"	"Carthage, MO"
"Carver Career Center"	"Charleston, WV"
"Casa Loma College-Van Nuys"	"Van Nuys, CA"
"Casal Aveda Institute"	"Austintown, OH"
"Cascadia College"	"Bothell, WA"
"Case Western Reserve University"	"Cleveland, OH"
"Casper College"	"Casper, WY"
"Castleton University"	"Castleton, VT"
"Catawba College"	"Salisbury, NC"
"Catawba Valley Community College"	"Hickory, NC"
"Catholic Theological Union at Chicago"	"Chicago, IL"
"Cayuga Community College"	"Auburn, NY"
"Cazenovia College"	"Cazenovia, NY"
"CBD College"	"Los Angeles, CA"
"Cecil College"	"North East, MD"
"Cedar Crest College"	"Allentown, PA"
"Cedarville University"	"Cedarville, OH"
"Celebrity School of Beauty"	"Miami, FL"
"Centenary College of Louisiana"	"Shreveport, LA"
"Center for Arts and Technology-Brandywine Campus"	"Coatesville, PA"
"Central Arizona College"	"Coolidge, AZ"
"Central Baptist College"	"Conway, AR"
"Central Carolina Community College"	"Sanford, NC"
"Central Christian College of the Bible"	"Moberly, MO"
"Central College"	"Pella, IA"
"Central Community College"	"Grand Island, NE"
"Central Connecticut State University"	"New Britain, CT"
"Central Lakes College"	"Brainerd, MN"
"Central Maine Community College"	"Auburn, ME"
"Central Methodist University"	"Fayette, MO"
"Central Michigan University"	"Mount Pleasant, MI"
"Central New Mexico Community College"	"Albuquerque, NM"
"Central Ohio Technical College"	"Newark, OH"
"Central Oklahoma College"	"Oklahoma City, OK"
"Central Pennsylvania Institute of Science and Technology"	"Pleasant Gap, PA"
"Central Piedmont Community College"	"Charlotte, NC"
"Central School of Practical Nursing - OH"	"Cleveland, OH"
"Central State University"	"Wilberforce, OH"
"Central Technology Center"	"Drumright, OK"
"Central Texas College"	"Killeen, TX"
"Central Virginia Community College"	"Lynchburg, VA"
"Central Washington University"	"Ellensburg, WA"
"Central Wyoming College"	"Riverton, WY"
"Centralia College"	"Centralia, WA"
"Centre College"	"Danville, KY"
"Centura College-Chesapeake"	"Chesapeake, VA"
"Centura College-Virginia Beach"	"Virginia Beach, VA"
"Century College"	"White Bear Lake, MN"
"Cerritos College"	"Norwalk, CA"
"CES College"	"Burbank, CA"
"CET-Alexandria"	"Alexandria, VA"
"CET-Coachella"	"Coachella, CA"
"CET-El Centro"	"El Centro, CA"
"CET-El Paso"	"El Paso, TX"
"CET-Oxnard"	"Oxnard, CA"
"CET-San Bernardino"	"San Bernardino, CA"
"CET-San Diego"	"San Diego, CA"
"CET-Santa Maria"	"Santa Maria, CA"
"CET-Sobrato"	"San Jose, CA"
"CET-Watsonville"	"Watsonville, CA"
"Chabot College"	"Hayward, CA"
"Chadron State College"	"Chadron, NE"
"Chaffey College"	"Rancho Cucamonga, CA"
"Chamberlain College of Nursing-Georgia"	"Atlanta, GA"
"Chamberlain College of Nursing-Indiana"	"Indianapolis, IN"
"Chamberlain College of Nursing-Missouri"	"St. Louis, MO"
"Chamberlain College of Nursing-Texas"	"Houston, TX"
"Chamberlain College of Nursing-Virginia"	"Arlington, VA"
"Chaminade University of Honolulu"	"Honolulu, HI"
"Chapman University"	"Orange, CA"
"Charles A. Jones Career and Education Center"	"Sacramento, CA"
"Charles R Drew University of Medicine and Science"	"Los Angeles, CA"
"Charleston Cosmetology Institute"	"Charleston, SC"
"Charleston School of Beauty Culture"	"Charleston, WV"
"Charleston School of Law"	"Charleston, SC"
"Charleston Southern University"	"Charleston, SC"
"Charlotte Christian College"	"Charlotte, NC"
"Charlotte Technical Center"	"Port Charlotte, FL"
"Charter Oak State College"	"New Britain, CT"
"Chatham University"	"Pittsburgh, PA"
"Chattahoochee Valley Community College"	"Phenix City, AL"
"Chattanooga State Community College"	"Chattanooga, TN"
"Chesapeake College"	"Wye Mills, MD"
"Chestnut Hill College"	"Philadelphia, PA"
"Cheyney University of Pennsylvania"	"Cheyney, PA"
"Chicago State University"	"Chicago, IL"
"Chicago Theological Seminary"	"Chicago, IL"
"Chief Dull Knife College"	"Lame Deer, MT"
"Chipola College"	"Marianna, FL"
"Chisholm Trail Technology Center"	"Omega, OK"
"Choffin Career  and Technical Center"	"Youngstown, OH"
"CHOICE High School and Technical Center"	"Fort Walton Beach, FL"
"Chowan University"	"Murfreesboro, NC"
"The Christ College of Nursing and Health Sciences"	"Cincinnati, OH"
"Christian Brothers University"	"Memphis, TN"
"Christian Theological Seminary"	"Indianapolis, IN"
"Christine Valmy International School of Esthetics & Cosmetology"	"Pine Brook, NJ"
"Christopher Newport University"	"Newport News, VA"
"Cincinnati Academy A Paul Mitchell Partner School"	"Cincinnati, OH"
"Cincinnati Christian University"	"Cincinnati, OH"
"Cinta Aveda Institute"	"San Francisco, CA"
"Cisco College"	"Cisco, TX"
"Citadel Military College of South Carolina"	"Charleston, SC"
"Citizens School of Nursing"	"New Kensington, PA"
"Citrus College"	"Glendora, CA"
"City College of San Francisco"	"San Francisco, CA"
"City Colleges of Chicago-Harold Washington College"	"Chicago, IL"
"City Colleges of Chicago-Harry S Truman College"	"Chicago, IL"
"City Colleges of Chicago-Kennedy-King College"	"Chicago, IL"
"City Colleges of Chicago-Malcolm X College"	"Chicago, IL"
"City Colleges of Chicago-Olive-Harvey College"	"Chicago, IL"
"City Colleges of Chicago-Richard J Daley College"	"Chicago, IL"
"City Colleges of Chicago-Wilbur Wright College"	"Chicago, IL"
"City Pointe Beauty Academy"	"Webb City, MO"
"City University of Seattle"	"Seattle, WA"
"City Vision University"	"Kansas City, MO"
"Clackamas Community College"	"Oregon City, OR"
"Claflin University"	"Orangeburg, SC"
"Claremont McKenna College"	"Claremont, CA"
"Claremont School of Theology"	"Claremont, CA"
"Clarendon College"	"Clarendon, TX"
"Clarion University"	"Clarion, PA"
"Clark Atlanta University"	"Atlanta, GA"
"Clark College"	"Vancouver, WA"
"Clark State Community College"	"Springfield, OH"
"Clark University"	"Worcester, MA"
"Clarke University"	"Dubuque, IA"
"Clarks Summit University"	"Clarks Summit, PA"
"Clarkson College"	"Omaha, NE"
"Clarkson University"	"Potsdam, NY"
"Clary Sage College"	"Tulsa, OK"
"Clatsop Community College"	"Astoria, OR"
"Clayton State University"	"Morrow, GA"
"Cleary University"	"Ann Arbor, MI"
"Clemson University"	"Clemson, SC"
"Cleveland Community College"	"Shelby, NC"
"Cleveland Institute of Art"	"Cleveland, OH"
"Cleveland State Community College"	"Cleveland, TN"
"Cleveland State University"	"Cleveland, OH"
"Cleveland University-Kansas City"	"Overland Park, KS"
"Clinton College"	"Rock Hill, SC"
"Clinton Community College"	"Plattsburgh, NY"
"Cloud County Community College"	"Concordia, KS"
"Clovis Adult Education"	"Clovis, CA"
"Clovis Community College - NM"	"Clovis, NM"
"CNI College"	"Orange, CA"
"Coahoma Community College"	"Clarksdale, MS"
"Coastal Bend College"	"Beeville, TX"
"Coastal Carolina Community College"	"Jacksonville, NC"
"Coastal Carolina University"	"Conway, SC"
"Coastal Pines Technical College"	"Waycross, GA"
"Coastline Beauty College"	"Fountain Valley, CA"
"Coe College"	"Cedar Rapids, IA"
"Coffeyville Community College"	"Coffeyville, KS"
"Cogswell College"	"Sunnyvale, CA"
"Coker College"	"Hartsville, SC"
"Colby College"	"Waterville, ME"
"Colby Community College"	"Colby, KS"
"Colby-Sawyer College"	"New London, NH"
"Colgate University"	"Hamilton, NY"
"Colleen O'Haras Beauty Academy"	"Santa Ana, CA"
"College of Alameda"	"Alameda, CA"
"College of Biblical Studies-Houston"	"Houston, TX"
"College of Business and Technology-Hialeah"	"Hialeah, FL"
"College of Charleston"	"Charleston, SC"
