"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	"38200"	"1.50"	"2019-2020"	"1st"	"No healthcare for dependents."	NA	NA	NA	NA	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	"43144"	"1.69"	"2022-2023"	"2nd"	NA	NA	"$26,100"	"$17,400"	"$356"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Illinois - Urbana- Champaign"	"Aerospace Engineering"	"29538"	"1.34"	"2022-2023"	"1st"	NA	"$30,096"	NA	NA	"$558"	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	48	35422.4	12875.2	0.0620573870573872	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Michigan - Ann Arbor"	"Aerospace Engineering"	"27534"	"1.39"	"2013-2014"	"3rd"	NA	"$27,534"	NA	NA	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Michigan - Ann Arbor"	"Aerospace Engineering"	"29605"	"1.28"	"2016-2017"	"4th"	"No additional free required for health care for grad student and all dependents."	"$29,605"	NA	NA	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Michigan - Ann Arbor"	"Aerospace Engineering"	"32700"	"1.42"	"2019-2020"	"1st"	"Free healthcare"	"$32,700"	NA	NA	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Michigan - Ann Arbor"	"Aerospace Engineering"	"32000"	"1.39"	"2019-2020"	NA	"Free healthcare"	"$32,000"	NA	NA	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Texas - Austin"	"Aerospace Engineering"	"24500"	"1.07"	"2017-2018"	"1st"	"GRA position, full tuition and fee waiver plus Health Insurance"	"$24,500"	NA	NA	NA	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	48	36316.8	12875.2	0.0361552028218695	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Texas - Austin"	"Aerospace Engineering"	"25525"	"1.12"	"2017-2018"	"1st"	NA	"$25,525"	NA	NA	NA	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	48	36316.8	12875.2	0.0361552028218695	0
"Aerospace Engineering"	"Engineering and Computing"	"Virginia Tech"	"Aerospace Engineering"	"24000"	"1.14"	"2020-2021"	"1st"	NA	"$24,000"	NA	NA	NA	"Virginia Tech"	"Blacksburg, VA"	"Blacksburg-Christiansburg-Radford, VA"	74	35068.8	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Washington University in St. Louis"	"Aerospace Engineering"	"35000"	"1.69"	"2020-2021"	"1st"	NA	"$35,000"	NA	NA	NA	"Washington University in St. Louis"	"St. Louis, MO"	"St. Louis, MO"	19	33945.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Binghamton University - SUNY"	"Anthropology"	"20000"	"0.97"	"2017-2018"	"1st"	NA	"$21,000"	NA	NA	"$1,000"	"Binghamton University--SUNY"	"Binghamton, NY"	"Binghamton, NY"	79	33800	12875.2	0.0361552028218695	0
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	"20000"	"0.76"	"2014-2015"	NA	NA	NA	"$20,000"	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	"22660"	NA	"2017-2018"	"1st"	"It&#39;s for 8 months, not 9. Full tuition waiver and fees, insurance included."	NA	"$22,660"	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	"21000"	"0.73"	"2018-2019"	"1st"	NA	"$21,000"	NA	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	"25500"	"0.89"	"2018-2019"	"1st"	NA	NA	"$22,500"	"$3,000"	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	"29521"	"1.03"	"2021-2022"	"1st"	"Funding for 8 months of academic year and an additional 2 months in the Summer. Dean&#39;s fellowship <span class=\"\"truncated\"\"> for first year.</span>"	"$29,521"	NA	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Brown University"	"Anthropology"	"25400"	"1.12"	"2016-2017"	"4th"	NA	NA	"$23,000"	"$2,500"	"$100"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Brown University"	"Anthropology"	"31519"	"1.39"	"2019-2020"	"1st"	NA	"$31,519"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Brown University"	"Anthropology"	"42400"	"1.86"	"2022-2023"	"1st"	"Bumped up from 39k-ish in first official offer letter. Includes Health, Dental, and health fees."	"$42,400"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Colorado State University"	"Anthropology"	"21500"	"0.96"	"2022-2023"	"1st"	NA	NA	"$23,500"	NA	"$2,000"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	166	38251.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Columbia University"	"Anthropology"	"35140"	"1.18"	"2020-2021"	NA	NA	NA	"$31,140"	"$4,000"	NA	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	3	47236.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Cornell University"	"Anthropology"	"30236"	"1.25"	"2016-2017"	NA	"Four years of funding--two years with fellowship and two years with teaching"	NA	"$25,152"	"$5,084"	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Emory University"	"Anthropology"	"21650"	"0.93"	"2015-2016"	"3rd"	NA	"$22,000"	NA	NA	"$350"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	21	38209.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Iowa State University"	"Anthropology"	"18900"	"0.89"	"2020-2021"	"2nd"	NA	NA	"$18,900"	NA	NA	"Iowa State University"	"Ames, IA"	"Ames, IA"	121	33113.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Johns Hopkins University"	"Anthropology"	"28500"	"1.11"	"2016-2017"	"1st"	NA	"$28,500"	NA	NA	NA	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	10	36483.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Johns Hopkins University"	"Anthropology"	"27000"	"1.05"	"2015-2016"	"3rd"	"shitty health insurance"	NA	"$23,000"	"$4,000"	NA	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	10	36483.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"New York University"	"Anthropology"	"28000"	"0.94"	"2019-2020"	"1st"	NA	NA	"$28,000"	NA	NA	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	29	47236.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Northwestern University"	"Anthropology"	"29800"	"1.23"	"2016-2017"	"2nd"	"5-year stipend including summers. Free health insurance.  Required &#39;student activity&#39; fees (110 per <span class=\"\"truncated\"\"> quarter) include u-pass for unlimited public transportation.</span>"	"$29,800"	NA	NA	NA	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0.0289855072463768	0
"Anthropology"	"Arts and Sciences"	"Northwestern University"	"Anthropology"	"30000"	"1.24"	"2017-2018"	"1st"	NA	"$30,000"	NA	NA	NA	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0.0289855072463768	0
"Anthropology"	"Arts and Sciences"	"Northwestern University"	"Anthropology"	"29780"	"1.23"	"2020-2021"	"4th"	"24k after taxes"	"$30,280"	NA	NA	"$500"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0.0289855072463768	0
"Anthropology"	"Arts and Sciences"	"Oregon State University"	"Anthropology"	"12939"	"0.62"	"2017-2018"	"2nd"	NA	NA	"$12,939"	NA	NA	"Oregon State University"	"Corvallis, OR"	"Corvallis, OR"	139	38500.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"22034"	"1.01"	"2015-2016"	"4th"	"Partial health insurance"	NA	"$21,500"	"$534"	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"22034"	"1.01"	"2015-2016"	"1st"	"Partial health insurance"	NA	"$21,500"	"$534"	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"21500"	"0.98"	"2016-2017"	"1st"	NA	NA	"$21,500"	NA	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"21500"	"0.98"	"2017-2018"	"1st"	NA	"$21,500"	NA	NA	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"21500"	"0.98"	"2018-2019"	"3rd"	NA	"$21,500"	NA	NA	NA	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	"26347"	"1.21"	"2022-2023"	"1st"	NA	"$27,000"	NA	NA	"$653"	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	17	34091.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Southern Methodist University"	"Anthropology"	"16000"	"0.74"	"2016-2017"	"1st"	"Partial medical insurance also covered, in addition to tuition."	NA	"$16,000"	NA	NA	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	64	35422.4	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Southern Methodist University"	"Anthropology"	"30000"	"1.39"	"2021-2022"	"1st"	"I was awarded one of the big university fellowships. It covers tuition, fees, and healthcare as <span class=\"\"truncated\"\"> well and lasts for 5 years. </span>"	"$30,000"	NA	NA	NA	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	64	35422.4	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Southern Methodist University"	"Anthropology"	"23000"	"1.07"	"2021-2022"	"1st"	"Stipend has recently gone up due to endowment funds from the new graduate school. Covers healthcare <span class=\"\"truncated\"\"> and fees as well. </span>"	"$23,000"	NA	NA	NA	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	64	35422.4	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"Temple University"	"Anthropology"	"20652"	"0.86"	"2016-2017"	"3rd"	"The inequality between the TAs at Temple is not acceptable. This is a divide-and-rule strategy that <span class=\"\"truncated\"\"> eats us all. We should stand up all together and be in solidarity until we all are paid equally!</span>"	"$21,000"	NA	NA	"$348"	"Temple University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	104	36108.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Arizona"	"Anthropology"	"14479"	"0.83"	"2014-2015"	"4th"	NA	NA	"$15,500"	NA	"$1,021"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	117	32156.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Arizona"	"Anthropology"	"15550"	"0.75"	"2019-2020"	"1st"	"Awarded a .25FTE for the first year with additional fellowships making the salary equivalent to the <span class=\"\"truncated\"\"> .5FTE. Second and third years guaranteed .5FTE funding (16k/yr, 20hrs per week, full tuition remission). </span>"	NA	"$16,000"	NA	"$450"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	117	32156.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Arizona"	"Anthropology"	"18100"	"0.87"	"2018-2019"	"1st"	NA	NA	"$18,500"	NA	"$400"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	117	32156.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of California - Los Angeles"	"Anthropology"	"22000"	"0.85"	"2016-2017"	"1st"	NA	NA	"$22,000"	NA	NA	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	20	44969.6	12875.2	0.04970101680628	0
"Anthropology"	"Arts and Sciences"	"University of California - Los Angeles"	"Anthropology"	"21200"	"0.82"	"2018-2019"	NA	NA	NA	"$22,000"	NA	"$800"	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	20	44969.6	12875.2	0.04970101680628	0
"Anthropology"	"Arts and Sciences"	"University of California - Riverside"	"Anthropology"	"21000"	"0.87"	"2021-2022"	NA	NA	NA	"$21,000"	NA	NA	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	91	37648	12875.2	0.0280423280423281	0
"Anthropology"	"Arts and Sciences"	"University of California - Santa Barbara"	"Anthropology"	"22650"	"0.86"	"2020-2021"	"2nd"	NA	"$23,000"	NA	NA	"$350"	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	34	50502.4	12875.2	0.0559154295996402	0
"Anthropology"	"Arts and Sciences"	"University of California - Santa Barbara"	"Anthropology"	"29000"	"1.10"	"2022-2023"	"1st"	"29k first year, 23k taship base other years for 6 years. Full health insurance and other fees <span class=\"\"truncated\"\"> included I believe. </span>"	NA	"$29,000"	NA	NA	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	34	50502.4	12875.2	0.0559154295996402	0
"Anthropology"	"Arts and Sciences"	"University of California - Santa Cruz"	"Anthropology"	"18350"	"0.68"	"2016-2017"	"1st"	"Three years of funding with teaching required every quarter. Health insurance is paid out of the <span class=\"\"truncated\"\"> stipend. Summer funding only for first year.</span>"	NA	"$20,050"	"$2,000"	"$3,700"	"University of California--Santa Cruz"	"Santa Cruz, CA"	"Santa Cruz-Watsonville, CA"	84	54579.2	12875.2	0.0606106106106106	0
"Anthropology"	"Arts and Sciences"	"University of Chicago"	"Anthropology"	"29791"	"1.23"	"2019-2020"	"1st"	NA	NA	"$27,000"	"$4,000"	"$1,209"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Chicago"	"Anthropology"	"29590"	"1.22"	"2019-2020"	"2nd"	NA	NA	"$27,000"	"$4,000"	"$1,410"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Chicago"	"Anthropology"	"33000"	"1.36"	"2022-2023"	"1st"	"Student Fees covered. Health insurance premium covered, out of pocket for vision and dental. 9 <span class=\"\"truncated\"\"> years coverage, tuition waived, 3 quarters of TA ship required</span>"	"$33,000"	NA	NA	NA	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	6	38313.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Colorado - Boulder"	"Anthropology"	"23074"	"0.90"	"2022-2023"	"1st"	"+first year recruitment fellowships totaling $7,772.67"	NA	NA	NA	NA	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Florida"	"Anthropology"	"16830"	"0.74"	"2018-2019"	"4th"	"My tuition is covered but each semester I’m required to pay around $800 in fees."	NA	"$18,430"	NA	"$1,600"	"University of Florida"	"Gainesville, FL"	"Gainesville, FL"	34	31740.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Florida"	"Anthropology"	"31000"	"1.36"	"2020-2021"	"1st"	"Doesn&#39;t include $10 per month for health insurance, tuition fees each semester (~$500)"	"$31,000"	NA	NA	NA	"University of Florida"	"Gainesville, FL"	"Gainesville, FL"	34	31740.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Georgia"	"Anthropology"	"22975"	"1.09"	"2016-2017"	"1st"	NA	"$23,000"	NA	NA	"$25"	"University of Georgia"	"Athens, GA"	"Athens-Clarke County, GA"	50	33051.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"18000"	"0.74"	"2019-2020"	"1st"	NA	NA	"$18,000"	NA	NA	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"20615"	"0.85"	"2020-2021"	"1st"	NA	NA	"$20,615"	NA	NA	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"26000"	"1.07"	"2021-2022"	"1st"	"Tuition and partial fee waiver"	NA	"$26,000"	NA	NA	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"19615"	"0.81"	"2021-2022"	"3rd"	NA	NA	"$20,615"	NA	"$1,000"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"19615"	"0.81"	"2021-2022"	"3rd"	NA	NA	"$20,615"	NA	"$1,000"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	"18200"	"0.75"	"2018-2019"	"3rd"	NA	NA	"$20,000"	NA	"$1,800"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	132	38313.6	12875.2	0.0315860215053764	0
"Anthropology"	"Arts and Sciences"	"University of Illinois - Urbana- Champaign"	"Anthropology"	"14200"	"0.65"	"2015-2016"	"6th and up"	NA	NA	"$14,500"	NA	"$300"	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	48	35422.4	12875.2	0.0620573870573872	0
"Anthropology"	"Arts and Sciences"	"University of Michigan - Ann Arbor"	"Anthropology"	"22450"	"0.97"	"2015-2016"	"6th and up"	"Full health and dental benefits for me and my dependents w/o premium."	NA	"$22,500"	NA	"$50"	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Anthropology"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Anthropology"	"16395"	"0.72"	"2017-2018"	"1st"	NA	"$17,895"	NA	NA	"$1,500"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	70	37856	12875.2	0.0558487058487058	0
"Anthropology"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Anthropology"	"22000"	"0.96"	"2021-2022"	"1st"	NA	NA	"$18,900"	"$4,000"	"$900"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	70	37856	12875.2	0.0558487058487058	0
"Anthropology"	"Arts and Sciences"	"University of Missouri"	"Anthropology"	"18000"	"0.88"	"2020-2021"	"6th and up"	NA	NA	"$18,500"	NA	"$500"	"University of Missouri"	"Columbia, MO"	"Columbia, MO"	139	32635.2	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Nevada - Las Vegas"	"Anthropology"	"13000"	"0.57"	"2015-2016"	"1st"	NA	NA	"$13,000"	NA	NA	"University of Nevada--Las Vegas"	"Las Vegas, NV"	"Las Vegas-Henderson-Paradise, NV"	NA	33072	12875.2	0.0593637992831542	0
"Anthropology"	"Arts and Sciences"	"University of Nevada - Reno"	"Anthropology"	"11275"	"0.54"	"2021-2022"	"2nd"	NA	NA	"$13,875"	NA	"$2,600"	"University of Nevada--Reno"	"Reno, NV"	"Reno, NV"	240	33404.8	12875.2	0.0375118708452042	0
"Anthropology"	"Arts and Sciences"	"University of Oregon"	"Anthropology"	"12817"	"0.61"	"2018-2019"	"1st"	"Health care is included but you have to pay for summer coverage."	NA	"$13,000"	NA	"$183"	"University of Oregon"	"Eugene, OR"	"Eugene, OR"	104	36316.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Pennsylvania"	"Anthropology"	"31100"	"1.29"	"2016-2017"	"1st"	"Five years of funding with stipend paid over 10 months. Summer funding is for three years."	NA	"$26,700"	"$4,400"	NA	"University of Pennsylvania"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	6	36108.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of Pennsylvania"	"Anthropology"	"36000"	"1.49"	"2020-2021"	"2nd"	NA	NA	"$30,000"	"$6,000"	NA	"University of Pennsylvania"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	6	36108.8	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of South Carolina"	"Anthropology"	"9900"	"0.44"	"2018-2019"	"2nd"	NA	NA	"$11,400"	NA	"$1,500"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	104	35609.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of South Carolina"	"Anthropology"	"11500"	"0.51"	"2020-2021"	"1st"	NA	NA	"$13,500"	NA	"$2,000"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	104	35609.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of South Carolina"	"Anthropology"	"15500"	"0.69"	"2020-2021"	"3rd"	"This is the current stipend for a PhD student. MA students are paid a stipend of $13,500"	NA	"$15,500"	NA	NA	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	104	35609.6	12875.2	0	0
"Anthropology"	"Arts and Sciences"	"University of South Florida"	"Anthropology"	"17200"	NA	"2018-2019"	"2nd"	"Not allowed to seek additional employment"	NA	"$18,000"	NA	"$800"	"University of South Florida"	"Tampa, FL"	"Tampa-St. Petersburg-Clearwater, FL"	104	35713.6	12875.2	0	0
