"Program"	"Level"	"College"
"148"	"Mechanical Engineering"	"Doctorate"	"Engineering and Computing"
"149"	"Media Arts"	"Master's"	"Arts and Sciences"
"150"	"Museum Management"	"Certificate"	"Arts and Sciences"
"151"	"Music"	"Master's"	"Music"
"152"	"Music Composition"	"Doctorate"	"Music"
"153"	"Music Conducting"	"Doctorate"	"Music"
"154"	"Music Education"	"Master's"	"Education"
"155"	"Music Education"	"Master's"	"Music"
"156"	"Music Education"	"Doctorate"	"Music"
"157"	"Music Performance"	"Certificate"	"Music"
"158"	"Music Performance"	"Doctorate"	"Music"
"159"	"Music Performance"	"Master's"	"Music"
"160"	"Music Piano Pedagogy"	"Doctorate"	"Music"
"161"	"Nuclear Engineering"	"Master's"	"Engineering and Computing"
"162"	"Nuclear Engineering"	"Master's"	"Engineering and Computing"
"163"	"Nuclear Engineering"	"Doctorate"	"Engineering and Computing"
"164"	"Nurse Anesthesia"	"Doctorate"	"Medicine"
"165"	"Nursing Education"	"Certificate"	"Nursing"
"166"	"Nursing Education"	"Master's"	"Nursing"
"167"	"Nursing Informatics"	"Certificate"	"Nursing"
"168"	"Nursing Informatics"	"Master's"	"Nursing"
"169"	"Nursing Practice"	"Doctorate"	"Nursing"
"170"	"Nursing Science"	"Doctorate"	"Nursing"
"171"	"Pharmaceutical Sciences"	"Doctorate"	"Pharmacy"
"172"	"Philosophy"	"Master's"	"Arts and Sciences"
"173"	"Philosophy"	"Doctorate"	"Arts and Sciences"
"174"	"Physical Activity and Public Health"	"Master's"	"Public Health"
"175"	"Physical Education"	"Master's"	"Education"
"176"	"Physical Education"	"Doctorate"	"Education"
"177"	"Physical Therapy"	"Doctorate"	"Public Health"
"178"	"Physician Assistant Studies"	"Master's"	"Medicine"
"179"	"Physics"	"Master's"	"Arts and Sciences"
"180"	"Physics"	"Doctorate"	"Arts and Sciences"
"181"	"Play Therapy"	"Certificate"	"Education"
"182"	"Political Science"	"Doctorate"	"Arts and Sciences"
"183"	"Psychiatric Mental Health Nurse Practitioner"	"Master's"	"Nursing"
"184"	"Psychiatric Mental Health Nurse Practitioner"	"Certificate"	"Nursing"
"185"	"Psychiatric Rehabilitation"	"Certificate"	"Medicine"
"186"	"Psychology"	"Master's"	"Arts and Sciences"
"187"	"Psychology"	"Doctorate"	"Arts and Sciences"
"188"	"Public Administration"	"Master's"	"Arts and Sciences"
"189"	"Public History"	"Master's"	"Arts and Sciences"
"190"	"Qualitative Research"	"Certificate"	"Education"
"191"	"Railway Engineering"	"Certificate"	"Engineering and Computing"
"192"	"Retailing"	"Master's"	"Hospitality Retail and Sport Management"
"193"	"Secondary Education"	"Master's"	"Education"
"194"	"Social and Behavioral Health with Military Members, Veterans and Military Families"	"Certificate"	"Social Work"
"195"	"Social Work"	"Master's"	"Social Work"
"196"	"Social Work"	"Doctorate"	"Social Work"
"197"	"Sociology"	"Master's"	"Arts and Sciences"
"198"	"Sociology"	"Doctorate"	"Arts and Sciences"
"199"	"Spanish"	"Doctorate"	"Arts and Sciences"
"200"	"Special Education"	"Master's"	"Education"
"201"	"Special Education"	"Master's"	"Education"
"202"	"Special Education"	"Doctorate"	"Education"
"203"	"Speech"	"Master's"	"Public Health"
"204"	"Sport and Entertainment Management"	"Master's"	"Hospitality Retail and Sport Management"
"205"	"Sport and Entertainment Management"	"Doctorate"	"Hospitality Retail and Sport Management"
"206"	"Statistics"	"Master's"	"Arts and Sciences"
"207"	"Statistics"	"Doctorate"	"Arts and Sciences"
"208"	"Statistics, Applied"	"Master's"	"Arts and Sciences"
"209"	"Statistics, Applied"	"Certificate"	"Arts and Sciences"
"210"	"Strategic Innovation"	"Certificate"	"Business"
"211"	"Teaching"	"Master's"	"Education"
"212"	"Teaching and Learning"	"Doctorate"	"Education"
"213"	"Teaching English to Speakers of Other Languages"	"Certificate"	"Arts and Sciences"
"214"	"Technology Innovation and Entrepreneurial Engineering"	"Master's"	"Engineering and Computing"
"215"	"Theatre"	"Master's"	"Arts and Sciences"
"216"	"Theatre"	"Master's"	"Education"
"217"	"Theatre"	"Master's"	"Arts and Sciences"
"218"	"Women's and Gender Studies"	"Certificate"	"Arts and Sciences"
"219"	"SEOE"	"Master's"	"Arts and Sciences"
"220"	"SEOE"	"Doctorate"	"Arts and Sciences"
